presion,presion_over_floor,temperature,altitude_over_sea_level_lib_bmp280,altitud_over_sea_level_lib_adafruit,altitud_over_sea_level_calculada,calculate_abs_alture,calculate_abs_alture_diff_lib_bmp280,calculate_abs_alture_diff_lib_adafruit,time
702.83741,991.25418,25.02068,3305.56552,2980.8733,3092.29025,2906.75521,3109.04819,2796.11217,"07/25/2023, 13:57:48"
993.00138,991.25418,24.77044,176.33477,169.96424,170.64759,-14.88745,-20.18256,-14.7969,"07/25/2023, 13:57:48"
993.00423,991.25418,24.77317,176.31125,169.9401,170.62331,-14.91174,-20.20608,-14.82104,"07/25/2023, 13:57:49"
993.00708,991.25418,24.7759,176.28773,169.91596,170.59902,-14.93602,-20.2296,-14.84517,"07/25/2023, 13:57:49"
993.00823,991.25418,24.77864,176.27921,169.90623,170.58923,-14.94581,-20.23812,-14.85491,"07/25/2023, 13:57:50"
993.01177,991.25418,24.78076,176.24924,169.87625,170.55908,-14.97597,-20.26809,-14.88489,"07/25/2023, 13:57:50"
993.01651,991.25418,24.78259,176.20855,169.83614,170.51873,-15.01631,-20.30878,-14.92499,"07/25/2023, 13:57:51"
993.01955,991.25418,24.78441,176.18287,169.81044,170.49288,-15.04216,-20.33446,-14.95069,"07/25/2023, 13:57:51"
993.02258,991.25418,24.78623,176.15718,169.78475,170.46703,-15.06801,-20.36015,-14.97638,"07/25/2023, 13:57:52"
993.02258,991.25418,24.78623,176.15718,169.78475,170.46703,-15.06801,-20.36015,-14.97638,"07/25/2023, 13:57:52"
993.02341,991.25418,24.78775,176.15078,169.77774,170.45998,-15.07506,-20.36655,-14.98339,"07/25/2023, 13:57:53"
993.02373,991.25418,24.78896,176.14866,169.77502,170.45724,-15.0778,-20.36867,-14.98612,"07/25/2023, 13:57:53"
993.02438,991.25418,24.79139,176.14442,169.76957,170.45176,-15.08328,-20.37291,-14.99157,"07/25/2023, 13:57:54"
993.02553,991.25418,24.79413,176.1359,169.75984,170.44197,-15.09307,-20.38143,-15.0013,"07/25/2023, 13:57:54"
993.01955,991.25418,24.79564,176.18952,169.81046,170.4929,-15.04215,-20.32781,-14.95068,"07/25/2023, 13:57:55"
993.01867,991.25418,24.79716,176.19813,169.81786,170.50034,-15.0347,-20.3192,-14.94327,"07/25/2023, 13:57:55"
993.02682,991.25418,24.79898,176.12742,169.74894,170.43101,-15.10403,-20.38991,-15.01219,"07/25/2023, 13:57:56"
993.0258,991.25418,24.79838,176.13599,169.75751,170.43963,-15.09542,-20.38134,-15.00363,"07/25/2023, 13:57:56"
993.0258,991.25418,24.79838,176.13599,169.75751,170.43963,-15.09542,-20.38134,-15.00363,"07/25/2023, 13:57:57"
993.02277,991.25418,24.79656,176.16167,169.7832,170.46548,-15.06957,-20.35566,-14.97793,"07/25/2023, 13:57:57"
993.02327,991.25418,24.79686,176.15739,169.77892,170.46117,-15.07387,-20.35994,-14.98221,"07/25/2023, 13:57:58"
993.02346,991.25418,24.79595,176.15523,169.77736,170.4596,-15.07544,-20.3621,-14.98377,"07/25/2023, 13:57:58"
993.02074,991.25418,24.79534,176.1788,169.80033,170.48271,-15.05233,-20.33853,-14.9608,"07/25/2023, 13:57:59"
993.01292,991.25418,24.79473,176.24739,169.86653,170.5493,-14.98574,-20.26994,-14.8946,"07/25/2023, 13:57:59"
993.01513,991.25418,24.79504,176.2281,169.84784,170.5305,-15.00455,-20.28923,-14.9133,"07/25/2023, 13:58:00"
993.01311,991.25418,24.79382,176.24522,169.86497,170.54773,-14.98731,-20.27211,-14.89616,"07/25/2023, 13:58:00"
993.02231,991.25418,24.79321,176.16375,169.78709,170.46939,-15.06565,-20.35358,-14.97404,"07/25/2023, 13:58:01"
993.02231,991.25418,24.79321,176.16375,169.78709,170.46939,-15.06565,-20.35358,-14.97404,"07/25/2023, 13:58:01"
993.02792,991.25418,24.79352,176.11445,169.73959,170.4216,-15.11344,-20.40288,-15.02155,"07/25/2023, 13:58:02"
993.03045,991.25418,24.79504,176.09305,169.71817,170.40006,-15.13498,-20.42428,-15.04296,"07/25/2023, 13:58:02"
